Episode,Score,Total_Reward,Pieces_Placed,Epsilon
761,700,-328.3,69,0.218
762,700,-320.2,54,0.217
763,700,-120.5,63,0.217
764,400,-266.5,56,0.216
765,0,-185.5,45,0.216
766,300,-378.5,54,0.215
767,1200,-266.5,87,0.215
768,1100,120.1,60,0.214
769,100,-203.4,41,0.214
770,500,-119.9,56,0.214
771,200,-307.4,47,0.213
772,900,-212.2,67,0.213
773,100,-180.1,41,0.212
774,800,-224.2,69,0.212
775,300,-321.6,57,0.211
776,900,-156.7,71,0.211
777,1100,-399.9,80,0.211
778,700,-114.7,65,0.21
779,100,-102.3,36,0.21
780,600,-136.6,59,0.209
781,600,-359.9,68,0.209
782,1100,-31.0,57,0.209
783,800,-279.9,68,0.208
784,1100,-60.8,72,0.208
785,200,-109.1,42,0.207
786,400,-126.1,47,0.207
787,900,-119.9,59,0.206
788,400,-332.7,54,0.206
789,900,-246.5,64,0.206
790,3000,203.2,124,0.205
791,100,-266.2,44,0.205
792,700,-200.0,67,0.204
793,200,-217.0,46,0.204
794,700,-38.7,62,0.204
795,300,-254.1,47,0.203
796,1100,-180.8,76,0.203
797,700,-165.0,65,0.202
798,500,-239.2,62,0.202
799,700,-408.6,70,0.202
800,600,-303.3,66,0.201
801,1200,-160.1,71,0.201
802,1100,-21.0,67,0.2
803,1000,-10.9,65,0.2
804,600,-174.1,62,0.2
805,400,-77.3,46,0.199
806,1400,-199.8,90,0.199
807,800,-200.0,68,0.198
808,1100,-253.2,75,0.198
809,900,-73.6,65,0.198
810,200,-90.4,40,0.197
811,900,-74.8,66,0.197
812,900,6.9,66,0.196
813,600,0.7,55,0.196
814,1100,-218.1,76,0.196
815,0,-330.8,47,0.195
816,100,-197.6,43,0.195
817,400,-347.9,51,0.194
818,1300,-279.7,83,0.194
819,1300,-307.8,82,0.194
820,1100,-204.7,78,0.193
821,700,-34.8,56,0.193
822,500,-73.4,50,0.193
823,100,-82.5,41,0.192
824,600,-98.3,56,0.192
825,900,-207.1,70,0.191
826,1000,-132.6,76,0.191
827,300,-101.6,52,0.191
828,1200,-6.4,74,0.19
829,1400,-529.0,88,0.19
830,1400,-110.4,85,0.189
